Alimento;Kcal (100g);Proteína (g);Hidratos (g);Gordura (g)
Carneiro, perna magra assada com azeite e margarina;242;23,5;0;16,4
Carneiro, perna magra assada com margarina;232;23,5;0;15,3
Carneiro, perna magra, assada, sem molho;178;24,2;0;9
Carneiro, perna magra, crua;130;19,8;0;5,6
Carneiro, perna magra, estufada com azeite e margarina;201;17,4;1,7;13,4
Carneiro, perna magra, estufada com margarina;193;17,4;1,7;12,5
Carneiro, perna magra, estufada sem molho;195;25,6;0;10,3
Carneiro, perna ou costeleta magra frita com margarina, sem molho;174;24,7;0;8,4
Carneiro, rim cru;92;16,2;0;3
Carneiro, rim frito com margarina;205;22,3;0;12,9
Caseína;358;86,2;0;1,5
Castanha assada com sal;222;3,5;45,5;1,3
Castanha cozida sem sal;175;2,8;35,9;1
Castanha de caju torrada e salgada;613;19,6;19,4;50
Castanha de caju torrada, sem sal;613;19,6;19,4;50
Castanha do Brasil;690;9,6;2,6;66,7
Castanha pilada;341;5,1;70;2
Castanha, miolo;194;3,1;39,8;1,1
Cavala cozida;192;20,5;0;12,2
Cavala crua;202;20,3;0;13,4
Cavala em filetes, conserva em azeite;182;24;0;9,6
Cavala grelhada;192;18,5;0,6;12,2
Cavala no forno;192;12,9;2,3;14,3
Cavalo, bife de alcatra crua;116;21,1;0;3,5
Cavalo, bife de alcatra frita com manteiga;177;23,3;0;9,3
Cavalo, bife de alcatra frita com margarina;176;23,3;0;9,2
Cavalo, bife de alcatra frita, sem molho;147;24,7;0;5,4
Cavalo, lombo ou pá assado com azeite e manteiga;167;22,7;0,1;8
Cavalo, lombo ou pá assado com margarina;161;22,7;0,1;7,3
Cavalo, lombo ou pá assado sem molho;136;24,2;0;4,3
Cavalo, lombo ou pá cru;99;19,6;0;2,3
Cavalo, lombo ou pá frito com manteiga;158;21,6;0;8
Cavalo, lombo ou pá frito com margarina;157;21,6;0;7,8
Cebola cozida;18;1;2,4;0,2
Cebola crua;20;0,9;3,1;0,2
Cebola doce, crua;25;0,8;4,9;0
Cebola frita com óleo alimentar;138;1,9;6,2;11,2
Cebola roxa, crua;43;0,7;8,6;0
Cebolinho fresco;28;2,8;1,7;0,6
Cenoura baby crua;29;0,6;4,9;0,1
Cenoura cozida;33;0,9;5,7;0
Cenoura crua;25;0,6;4,4;0
"Cereal de pequeno almoço à base de farelo de trigo (tipo ""All-Bran"")";310;15,1;39,8;3,4
"Cereal de pequeno almoço de trigo integral tipo ""Weetabix""";364;10,7;71,5;2
Cerefólio fresco;80;4;12;1
Cereja (4 variedades);67;0,8;13,3;0,7
Cereja desidratada;366;4,4;72,6;3,8
Cereja, conserva em calda de açúcar;120;0,4;28,7;0,2
Cereja, cristalizada;326;0,4;79,9;0,2
Cerveja branca;30;0,4;0,5;0
Cerveja preta;23;0,5;0,6;0
Cerveja sem álcool;7;0,3;1,5;0
